dateTime_UTC,ax,ay,az,gx,gy,gz
1999-01-02 04:00:02.4324,-4.6712,0.2059,-9.1096,4.54,11.94,-12.6
1999-01-02 04:00:02.5014,-4.53,0.3028,-9.5225,14.81,22.91,9.77
1999-01-02 04:00:02.5704,-3.8945,0.6858,-8.5082,-1.83,15.42,0.31
1999-01-02 04:00:02.6394,-3.1129,0.8964,-7.9852,-0.7,16.23,-4.72
1999-01-02 04:00:02.7084,-2.2476,1.2842,-5.8614,-19.5,38.16,-19.73
1999-01-02 04:00:02.7774,-2.4672,0.9491,-5.2349,-2.17,52.34,-22.46
1999-01-02 04:00:02.8464,-3.326,0.9323,-10.4345,33.55,-3.35,1.25
1999-01-02 04:00:02.9154,-3.7472,0.6553,-9.3717,30.2,21.96,-0.25
1999-01-02 04:00:02.9844,-3.1572,-0.0814,-13.0017,15.44,53.79,1.98
1999-01-02 04:00:03.0534,-2.7305,-0.6439,-10.748,10.78,27.93,-5.65
1999-01-02 04:00:03.1224,-2.5522,-0.842,-11.3716,13.37,27.66,-11.99
1999-01-02 04:00:03.1914,-0.9987,-1.7228,-10.6631,-32.42,74.33,-15.76
1999-01-02 04:00:03.2603,-2.1585,-0.1059,-10.93,-93.1,-118.47,-13.2
1999-01-02 04:00:03.3293,-3.8645,0.3866,-10.5494,-47.16,-13.31,6.99
1999-01-02 04:00:03.3983,-4.2822,1.0364,-9.1994,-28.81,-8.24,12.14
1999-01-02 04:00:03.4673,-1.3392,1.8359,-9.2724,20.26,105.03,29.38
1999-01-02 04:00:03.5363,-1.952,1.2387,-10.3495,11.57,37.55,-13.26
1999-01-02 04:00:03.6053,-2.9172,0.3578,-10.2304,51.24,81.31,-20.4
1999-01-02 04:00:03.6743,-2.0166,-0.1454,-9.644,13.9,32.54,-0.98
1999-01-02 04:00:03.7433,-0.3507,-0.3656,-9.7894,2.24,19.13,4.92
1999-01-02 04:00:03.8123,-0.5344,0.0945,-10.2705,1.65,15.01,19.29
1999-01-02 04:00:03.8813,-0.596,0.2932,-9.869,8.98,9.17,18.45
1999-01-02 04:00:03.9503,-0.4153,-0.1574,-10.5931,9.21,13.34,9.76
1999-01-02 04:00:04.0193,0.5918,0.7013,-6.4305,-23.63,49.8,0.37
1999-01-02 04:00:04.0883,-0.1705,0.3955,-9.9001,-7.65,21.86,0.94
1999-01-02 04:00:04.1573,0.7779,0.4931,-9.9743,0.32,6.68,7.72
1999-01-02 04:00:04.2262,0.7989,-0.9251,-11.8294,12.63,2.25,18.59
1999-01-02 04:00:04.2952,0.6038,0.3267,-10.1867,10.37,0.51,6.36
1999-01-02 04:00:04.3642,0.8108,0.97,-9.8127,30.77,-11.6,-7.75
1999-01-02 04:00:04.4332,0.4715,-0.5122,-10.3136,8.47,-1.71,0.25
1999-01-02 04:00:04.5022,0.5242,-0.1741,-10.027,1.3,-2.5,5.99
1999-01-02 04:00:04.5712,-1.2513,-1.3183,-10.4991,5.27,0.54,3.26
1999-01-02 04:00:04.6402,-0.4039,-0.6977,-10.5045,3.48,-4.35,2.19
1999-01-02 04:00:04.7092,-0.3387,-0.5834,-10.2352,1.17,0.87,0.67
1999-01-02 04:00:04.7782,-0.2412,-0.5589,-10.082,0.37,2.69,0.49
1999-01-02 04:00:04.8472,-0.2555,-0.5667,-10.0958,0.18,1.98,0.56
1999-01-02 04:00:04.9162,-0.2513,-0.5834,-10.1083,0.0,2.34,0.6
1999-01-02 04:00:04.9852,-0.2483,-0.5763,-10.0814,-0.11,2.24,0.5
1999-01-02 04:00:05.0542,-0.234,-0.5817,-10.0862,0.0,2.13,0.37
1999-01-02 04:00:05.1232,-0.2519,-0.5709,-10.1,-0.03,2.12,0.64
1999-01-02 04:00:05.1922,-0.2352,-0.5781,-10.088,0.23,2.16,0.7
1999-01-02 04:00:05.2611,-0.237,-0.5805,-10.0814,0.18,2.24,0.64
1999-01-02 04:00:05.3301,-0.2418,-0.5769,-10.0976,-0.02,2.06,0.64
1999-01-02 04:00:05.3991,-0.234,-0.5757,-10.0772,0.04,2.27,0.84
1999-01-02 04:00:05.4681,-0.2376,-0.5781,-10.0844,0.22,2.21,0.81
1999-01-02 04:00:05.5371,-0.2442,-0.5739,-10.091,0.04,2.23,0.53
1999-01-02 04:00:05.6061,-0.231,-0.5834,-10.0688,-0.2,2.35,0.66
1999-01-02 04:00:05.6751,-0.2232,-0.584,-10.073,0.05,2.37,0.55
1999-01-02 04:00:05.7441,-0.2394,-0.5673,-10.1006,0.03,2.14,0.6
1999-01-02 04:00:05.8131,-0.237,-0.5727,-10.0575,-0.18,2.34,0.7
1999-01-02 04:00:05.8821,-0.2388,-0.5829,-10.07,0.11,2.08,0.56
1999-01-02 04:00:05.9511,-0.2447,-0.5649,-10.0988,0.22,2.15,0.64
1999-01-02 04:00:06.0201,-0.2418,-0.5745,-10.0688,0.25,2.08,0.6
1999-01-02 04:00:06.0891,-0.2406,-0.5697,-10.0928,0.25,2.41,0.68
1999-01-02 04:00:06.1581,-0.2447,-0.5739,-10.0916,0.19,2.29,0.78
1999-01-02 04:00:06.2271,-0.2346,-0.5799,-10.0593,0.22,2.25,0.61
1999-01-02 04:00:06.2960,-0.237,-0.5769,-10.0928,0.27,2.2,0.51
1999-01-02 04:00:06.3650,-0.2358,-0.5739,-10.082,0.38,2.28,0.44
1999-01-02 04:00:06.4340,-0.2394,-0.5793,-10.0712,0.2,2.21,0.73
1999-01-02 04:00:06.5030,-0.2346,-0.5727,-10.0904,0.07,2.4,0.79
