dateTime_UTC,ax,ay,az,gx,gy,gz,Actividades
1999-01-02 04:00:04.709200,-0.3387,-0.5834,-10.2352,1.17,0.87,0.67,Quieto
1999-01-02 04:00:04.778200,-0.2412,-0.5589,-10.082,0.37,2.69,0.49,Quieto
1999-01-02 04:00:04.847200,-0.2555,-0.5667,-10.0958,0.18,1.98,0.56,Quieto
1999-01-02 04:00:04.916200,-0.2513,-0.5834,-10.1083,0.0,2.34,0.6,Quieto
1999-01-02 04:00:04.985200,-0.2483,-0.5763,-10.0814,-0.11,2.24,0.5,Quieto
1999-01-02 04:00:05.054200,-0.234,-0.5817,-10.0862,0.0,2.13,0.37,Quieto
1999-01-02 04:00:05.123200,-0.2519,-0.5709,-10.1,-0.03,2.12,0.64,Quieto
1999-01-02 04:00:05.192200,-0.2352,-0.5781,-10.088,0.23,2.16,0.7,Quieto
1999-01-02 04:00:05.261100,-0.237,-0.5805,-10.0814,0.18,2.24,0.64,Quieto
1999-01-02 04:00:05.330100,-0.2418,-0.5769,-10.0976,-0.02,2.06,0.64,Quieto
1999-01-02 04:00:05.399100,-0.234,-0.5757,-10.0772,0.04,2.27,0.84,Quieto
1999-01-02 04:00:05.468100,-0.2376,-0.5781,-10.0844,0.22,2.21,0.81,Quieto
1999-01-02 04:00:05.537100,-0.2442,-0.5739,-10.091,0.04,2.23,0.53,Quieto
1999-01-02 04:00:05.606100,-0.231,-0.5834,-10.0688,-0.2,2.35,0.66,Quieto
1999-01-02 04:00:05.675100,-0.2232,-0.584,-10.073,0.05,2.37,0.55,Quieto
1999-01-02 04:00:05.744100,-0.2394,-0.5673,-10.1006,0.03,2.14,0.6,Quieto
1999-01-02 04:00:05.813100,-0.237,-0.5727,-10.0575,-0.18,2.34,0.7,Quieto
1999-01-02 04:00:05.882100,-0.2388,-0.5829,-10.07,0.11,2.08,0.56,Quieto
1999-01-02 04:00:05.951100,-0.2447,-0.5649,-10.0988,0.22,2.15,0.64,Quieto
1999-01-02 04:00:06.020100,-0.2418,-0.5745,-10.0688,0.25,2.08,0.6,Quieto
1999-01-02 04:00:06.089100,-0.2406,-0.5697,-10.0928,0.25,2.41,0.68,Quieto
1999-01-02 04:00:06.158100,-0.2447,-0.5739,-10.0916,0.19,2.29,0.78,Quieto
1999-01-02 04:00:06.227100,-0.2346,-0.5799,-10.0593,0.22,2.25,0.61,Quieto
1999-01-02 04:00:06.296000,-0.237,-0.5769,-10.0928,0.27,2.2,0.51,Quieto
1999-01-02 04:00:06.365000,-0.2358,-0.5739,-10.082,0.38,2.28,0.44,Quieto
1999-01-02 04:00:06.434000,-0.2394,-0.5793,-10.0712,0.2,2.21,0.73,Quieto
1999-01-02 04:00:06.503000,-0.2346,-0.5727,-10.0904,0.07,2.4,0.79,Quieto
1999-01-02 04:00:06.572000,-0.228,-0.5745,-10.0772,0.07,2.26,0.74,Quieto
1999-01-02 04:00:06.641000,-0.2298,-0.5733,-10.0563,-0.07,2.41,0.81,Quieto
1999-01-02 04:00:06.710000,-0.2418,-0.5721,-10.097,0.13,2.2,0.75,Quieto
1999-01-02 04:00:06.779000,-0.2322,-0.5799,-10.0706,0.19,2.35,0.74,Quieto
1999-01-02 04:00:06.848000,-0.2328,-0.5834,-10.0665,0.37,2.07,0.51,Quieto
1999-01-02 04:00:06.917000,-0.2352,-0.5787,-10.088,0.35,2.23,0.79,Quieto
1999-01-02 04:00:06.986000,-0.2477,-0.5823,-10.1095,0.25,2.29,0.74,Quieto
1999-01-02 04:00:07.055000,-0.2328,-0.5697,-10.0694,0.08,2.3,0.8,Quieto
1999-01-02 04:00:07.124000,-0.2244,-0.5751,-10.0838,0.11,2.14,0.62,Quieto
1999-01-02 04:00:07.193000,-0.2388,-0.5805,-10.0671,0.06,2.35,0.5,Quieto
1999-01-02 04:00:07.261900,-0.2274,-0.5673,-10.0874,0.21,2.27,0.56,Quieto
1999-01-02 04:00:07.330900,-0.2316,-0.5721,-10.0916,0.35,2.22,0.52,Quieto
1999-01-02 04:00:07.399900,-0.2286,-0.5769,-10.0623,0.1,2.14,0.69,Quieto
1999-01-02 04:00:07.468900,-0.2262,-0.5775,-10.076,0.13,2.01,0.72,Quieto
1999-01-02 04:00:07.537900,-0.2316,-0.5709,-10.0694,0.13,2.26,0.88,Quieto
1999-01-02 04:00:07.606900,-0.2304,-0.5673,-10.085,-0.12,2.4,0.7,Quieto
1999-01-02 04:00:07.675900,-0.2376,-0.5745,-10.0928,0.2,2.4,0.58,Quieto
1999-01-02 04:00:07.744900,-0.2304,-0.5649,-10.0814,0.17,2.22,0.57,Quieto
1999-01-02 04:00:07.813900,-0.2328,-0.5775,-10.0509,0.09,2.24,0.6,Quieto
1999-01-02 04:00:07.882900,-0.2286,-0.5751,-10.085,0.25,2.38,0.6,Quieto
1999-01-02 04:00:07.951900,-0.2304,-0.5667,-10.0838,-0.06,2.28,0.46,Quieto
1999-01-02 04:00:08.020900,-0.237,-0.5739,-10.0641,0.05,2.17,0.66,Quieto
1999-01-02 04:00:08.089900,-0.2298,-0.5811,-10.0844,0.14,2.13,0.66,Quieto
1999-01-02 04:00:08.158900,-0.231,-0.5673,-10.0449,0.2,2.18,0.69,Quieto
1999-01-02 04:00:08.227900,-0.2208,-0.5667,-10.0922,0.21,2.13,0.58,Quieto
1999-01-02 04:00:08.296800,-0.2471,-0.5613,-10.0682,0.04,2.21,0.57,Quieto
1999-01-02 04:00:08.365800,-0.2298,-0.5763,-10.0617,-0.15,2.26,0.8,Quieto
1999-01-02 04:00:08.434800,-0.2322,-0.5799,-10.0964,-0.04,2.28,0.74,Quieto
1999-01-02 04:00:08.503800,-0.2358,-0.5709,-10.1287,0.18,2.29,0.79,Quieto
1999-01-02 04:00:08.572800,-0.2459,-0.5745,-10.1245,-0.08,2.4,0.79,Quieto
1999-01-02 04:00:08.641800,-0.2286,-0.5751,-10.0623,0.15,2.18,0.66,Quieto
1999-01-02 04:00:08.710800,-0.2172,-0.5607,-10.0838,0.32,1.98,0.62,Quieto
1999-01-02 04:00:08.779800,-0.1604,-0.5715,-10.0294,0.07,1.91,0.57,Quieto
