dateTime_UTC,ax,ay,az,gx,gy,gz,Actividades
1999-01-15 09:34:48.796200,-0.2956,0.0263,-10.0605,0.56,4.2,0.7,Caminando
1999-01-15 09:34:48.865400,-0.1586,0.0928,-10.0682,0.51,2.87,1.16,Caminando
1999-01-15 09:34:48.934600,-0.2005,0.0718,-10.0802,0.21,1.9,0.89,Caminando
1999-01-15 09:34:49.003800,-0.207,0.0844,-10.0581,-0.02,1.55,0.74,Caminando
1999-01-15 09:34:49.073100,-0.2424,0.0874,-10.07,0.47,1.36,0.51,Caminando
1999-01-15 09:34:49.142300,-0.21,0.1191,-10.0706,0.31,1.32,0.2,Caminando
1999-01-15 09:34:49.211500,-0.283,0.0796,-10.0688,0.35,1.54,0.24,Caminando
1999-01-15 09:34:49.280700,-0.2711,0.1131,-10.073,0.31,1.33,0.59,Caminando
1999-01-15 09:34:49.349900,-0.283,0.07,-10.0629,0.27,1.55,1.06,Caminando
1999-01-15 09:34:49.419100,-0.2537,0.1077,-10.0682,-0.18,1.74,0.93,Caminando
1999-01-15 09:34:49.488300,-0.2663,0.1328,-10.0688,-0.38,1.62,0.4,Caminando
1999-01-15 09:34:49.557500,-0.3172,0.1113,-10.0671,-0.28,1.65,0.35,Caminando
1999-01-15 09:34:49.626800,-0.3231,0.1107,-10.0353,-0.22,1.45,0.3,Caminando
1999-01-15 09:34:49.696000,-0.3201,0.1855,-10.079,-0.61,0.9,-0.46,Caminando
1999-01-15 09:34:49.765200,-0.3758,0.1406,-10.0437,-0.71,1.47,-0.9,Caminando
1999-01-15 09:34:49.834400,-0.3716,0.1514,-10.0521,-0.5,1.5,-0.38,Caminando
1999-01-15 09:34:49.903600,-0.3638,0.1586,-10.0443,-0.47,1.85,0.11,Caminando
1999-01-15 09:34:49.972800,-0.3441,0.2364,-10.0551,-1.05,2.08,-0.34,Caminando
1999-01-15 09:34:50.042000,-0.3465,0.2358,-10.0641,-1.16,2.26,-0.26,Caminando
1999-01-15 09:34:50.111200,-0.3543,0.2298,-10.0401,-1.28,2.2,-0.39,Caminando
1999-01-15 09:34:50.180400,-0.4027,0.2268,-10.0521,-1.37,2.12,-0.24,Caminando
1999-01-15 09:34:50.249700,-0.3507,0.2747,-10.0623,-1.47,2.2,0.18,Caminando
1999-01-15 09:34:50.318900,-0.3435,0.3291,-10.0539,-2.06,2.49,0.05,Caminando
1999-01-15 09:34:50.388100,-0.3429,0.3016,-10.0323,-1.48,2.91,-0.46,Caminando
1999-01-15 09:34:50.457300,-0.3363,0.3375,-10.0455,-0.74,3.01,-0.18,Caminando
1999-01-15 09:34:50.526500,-0.3447,0.4165,-10.0563,-0.95,2.8,-0.18,Caminando
1999-01-15 09:34:50.595700,-0.3321,0.3453,-10.0407,-0.88,2.29,0.24,Caminando
1999-01-15 09:34:50.664900,-0.3501,0.371,-10.0491,-0.51,2.41,0.16,Caminando
1999-01-15 09:34:50.734100,-0.31,0.4021,-10.0407,-0.86,2.59,-0.24,Caminando
