dateTime_UTC,ax,ay,az,gx,gy,gz,Actividades
1999-01-15 09:29:33.130900,3.2781,5.1786,6.6842,4.44,10.84,-13.47,
1999-01-15 09:29:33.199900,3.8579,5.9117,6.7297,11.44,26.7,3.67,
1999-01-15 09:29:33.268900,2.8185,5.7699,7.1875,-5.08,6.07,-3.13,
1999-01-15 09:29:33.337900,3.5258,5.5149,6.908,-4.18,1.65,3.19,
1999-01-15 09:29:33.406800,3.6533,5.5544,7.1432,-7.14,0.39,1.86,
1999-01-15 09:29:33.475800,3.013,5.2367,6.4874,-9.49,-1.51,1.53,
1999-01-15 09:29:33.544800,3.5743,6.3348,6.5251,2.52,3.16,-5.56,
1999-01-15 09:29:33.613800,2.7323,5.5293,7.8679,5.17,-0.38,-7.73,
1999-01-15 09:29:33.682800,3.4732,5.5,6.8793,4.12,2.41,-0.84,
1999-01-15 09:29:33.751800,3.5581,5.4395,7.2061,-8.01,-0.06,0.41,
1999-01-15 09:29:33.820800,3.0381,5.1786,7.1971,-11.78,-4.36,9.28,
1999-01-15 09:29:33.889800,3.4468,4.7705,7.1522,-17.58,5.01,-6.06,
1999-01-15 09:29:33.958800,3.8226,3.9806,6.8039,-7.47,25.1,6.39,
1999-01-15 09:29:34.027800,3.3038,4.6742,7.5154,-22.03,23.98,3.95,
1999-01-15 09:29:34.096800,2.4499,4.1919,8.343,-31.95,20.06,5.2,
1999-01-15 09:29:34.165700,2.9561,3.8161,8.9139,-49.15,3.61,14.02,
1999-01-15 09:29:34.234700,3.9381,3.6683,7.8529,-52.94,20.06,8.79,
1999-01-15 09:29:34.303700,2.5157,2.8766,8.6512,-59.85,30.09,0.72,
1999-01-15 09:29:34.372700,2.4349,2.4954,9.3454,-51.0,21.45,2.23,
1999-01-15 09:29:34.441700,1.7922,1.9819,9.1437,-38.08,9.76,3.67,
1999-01-15 09:29:34.510700,2.6085,1.6157,8.6973,-34.4,13.06,4.12,
1999-01-15 09:29:34.579700,2.1537,0.9587,8.3718,-26.92,-5.16,2.11,
1999-01-15 09:29:34.648700,2.1579,0.362,9.2107,-34.54,-24.51,-5.85,
1999-01-15 09:29:34.717700,2.8532,0.2824,9.9737,-37.95,-42.37,-13.22,
1999-01-15 09:29:34.786700,2.627,-0.0191,9.6105,-32.37,-26.6,-15.65,
1999-01-15 09:29:34.855700,3.688,0.0275,9.2089,-34.15,-8.1,-12.47,
1999-01-15 09:29:34.924700,3.1464,-0.7157,9.8534,-15.73,-4.88,-7.41,
1999-01-15 09:29:34.993600,3.3319,-0.6726,8.9049,-9.2,-1.17,-3.05,
1999-01-15 09:29:35.062600,3.0112,-0.8114,9.1186,-6.07,1.66,3.92,
1999-01-15 09:29:35.131600,3.5929,-0.3477,8.7158,-6.65,6.71,0.25,
1999-01-15 09:29:35.200600,3.4121,-0.9287,9.6847,-8.47,11.31,-1.53,
1999-01-15 09:29:35.269600,3.1099,-0.9096,8.9618,-3.32,11.98,-2.02,
1999-01-15 09:29:35.338600,3.2153,-1.1555,9.0504,-6.67,11.96,-0.32,
1999-01-15 09:29:35.407600,2.648,-1.2758,9.1413,-6.84,9.54,0.08,
1999-01-15 09:29:35.476600,2.9125,-1.2513,9.1198,-9.62,11.38,0.45,
1999-01-15 09:29:35.545600,2.7078,-1.3321,9.1581,-4.1,8.99,5.21,
1999-01-15 09:29:35.614600,2.852,-1.2351,8.9367,-6.57,7.04,4.9,
1999-01-15 09:29:35.683600,2.7012,-1.4817,9.2484,-0.87,4.9,5.85,
1999-01-15 09:29:35.752600,2.7419,-1.3739,9.0408,-1.93,2.85,3.42,
1999-01-15 09:29:35.821500,2.42,-1.5995,9.0833,-1.47,3.72,2.03,
1999-01-15 09:29:35.890500,2.4912,-1.6181,9.1461,2.8,3.0,2.22,
1999-01-15 09:29:35.959500,2.6115,-1.5858,9.264,4.36,1.85,3.96,
1999-01-15 09:29:36.028500,2.7898,-1.3165,9.4118,7.66,5.36,5.72,
1999-01-15 09:29:36.097500,2.627,-1.1166,8.9181,9.54,5.3,3.46,
1999-01-15 09:29:36.166500,2.7629,-0.9634,9.188,13.78,5.53,9.04,
1999-01-15 09:29:36.235500,2.3105,-1.2608,9.2897,37.19,-7.82,4.93,
1999-01-15 09:29:36.304500,2.4433,-1.2644,10.088,18.1,-20.76,22.33,
1999-01-15 09:29:36.373500,3.1907,0.1711,8.6153,20.13,-7.25,42.46,
1999-01-15 09:29:36.442500,3.0441,-0.0928,9.0623,21.77,-0.16,27.83,
